FLY524_P2_ul,FLY524_P1_ul,FLY524_P2_dl,FLY524_P1_dl,FLY526_P2_ul,FLY526_P1_ul,FLY526_P2_dl,FLY526_P1_dl
38.21691895,35.6829834,14.25604248,18.08447266,23.53076172,9.544921875,1.862182617,13.39672852
38.13464355,38.46691895,11.06964111,16.75146484,30.46246338,8.771606445,5.938293457,11.73046875
35.97491455,38.57739258,12.04211426,20.5949707,32.56048584,8.528564453,7.759094238,11.59716797
32.99243164,39.04138184,9.848876953,23.99414063,32.4576416,8.837890625,5.110656738,9.020019531
33.48608398,40.19030762,4.552001953,24.54956055,36.20117188,8.970458984,5.027893066,6.242919922
27.78851318,40.76477051,12.7869873,31.41455078,19.06732178,8.639038086,4.200256348,7.731445313
24.29180908,41.7590332,15.06298828,27.7043457,22.04980469,8.904174805,5.710693359,8.309082031
33.23925781,40.3449707,13.67669678,27.7487793,37.86724854,8.307617188,5.027893066,6.909423828
38.79284668,40.85314941,17.33898926,25.54931641,30.40075684,8.594848633,5.255493164,7.487060547
41.6519165,41.53808594,13.15942383,24.50512695,24.04498291,8.948364258,6.186584473,8.975585938
41.50793457,31.57336426,14.69055176,25.6159668,19.60211182,8.263427734,6.538330078,8.575683594
40.56176758,38.44482422,14.89746094,27.48217773,21.04193115,8.41809082,6.579711914,9.708740234
40.3972168,42.95214844,16.94586182,27.43774414,16.29052734,8.992553711,6.186584473,12.28588867
39.78015137,39.21813965,17.19415283,26.79345703,24.95001221,8.859985352,6.579711914,9.175537109
38.64886475,38.1796875,9.724731445,29.99267578,36.01605225,9.25769043,6.807312012,10.57519531
41.07598877,37.5168457,9.393676758,22.35009766,35.9543457,9.080932617,6.600402832,12.68579102
39.26593018,40.0135498,9.993713379,25.72705078,35.35784912,8.992553711,6.207275391,10.24194336
38.29919434,39.52746582,12.86975098,26.79345703,35.48126221,8.572753906,6.662475586,8.664550781
35.62524414,37.64941406,15.33197021,15.50732422,29.94824219,8.440185547,6.145202637,7.531494141
36.26287842,40.74267578,18.06317139,23.28320313,35.39898682,8.175048828,6.476257324,6.709472656
35.9543457,38.5994873,17.87695313,26.3269043,34.55566406,7.932006836,5.772766113,8.686767578
40.76745605,37.1854248,17.62866211,25.14941406,34.45281982,6.584228516,3.372619629,5.598632813
43.97619629,38.68786621,21.62200928,23.83862305,35.48126221,7.887817383,5.876220703,7.242675781
41.52850342,41.07409668,16.9251709,22.99438477,36.71539307,8.307617188,9.021240234,8.197998047
40.29437256,41.36132813,13.2421875,24.9050293,38.46374512,7.954101563,10.1385498,10.15307617
39.0602417,41.31713867,14.79400635,30.37036133,39.51275635,9.103027344,9.47644043,11.66381836
42.41296387,39.21813965,20.07019043,29.1484375,34.80249023,8.727416992,9.704040527,11.04174805
43.81164551,41.40551758,19.53222656,26.52685547,28.5289917,9.25769043,10.0144043,9.708740234
38.93682861,42.0904541,17.62866211,23.10546875,17.03100586,9.346069336,9.290222168,10.35302734
41.52850342,37.89245605,20.35986328,19.08422852,19.21130371,8.086669922,6.745239258,4.598876953
42.18670654,37.91455078,23.31866455,23.01660156,10.55181885,9.390258789,6.290039063,9.886474609
41.81646729,41.6706543,23.21520996,28.92626953,23.13995361,9.478637695,5.462402344,10.15307617
44.12017822,42.44396973,24.37390137,27.88208008,30.89440918,8.727416992,6.083129883,10.37524414
43.19458008,41.53808594,23.6083374,24.66064453,30.85327148,9.058837891,2.379455566,6.665039063
40.99371338,38.9309082,20.54608154,17.15136719,35.06988525,7.357543945,3.910583496,7.575927734
42.9888916,39.2623291,23.0289917,24.10522461,25.44366455,8.484375,4.386474609,10.01977539
42.35125732,41.05200195,22.49102783,23.79418945,18.69708252,8.793701172,4.17956543,9.131103516
44.09960938,41.80322266,23.8359375,20.48388672,15.42663574,8.992553711,4.17956543,10.21972656
43.97619629,39.83679199,25.80157471,18.04003906,26.88348389,8.705322266,2.482910156,6.909423828
